pool_seed,random_seed,pool_group_count,pool_size,method,batch_size,risk_budget_per_item,cost_budget_per_item,selected_candidate_ids,full_batch,full_batch_status,selection_event_count,stop_event_count,selected_count,hits,hit_fraction,total_proxy_cost,proxy_cost_normalized_yield,risk_used,mean_predicted_success,jaccard_to_full_test_selection
1,0,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00033_COJHIT"",""mofsimplify_solvent_test_00283_QAKFIU""]",False,stopped_before_requested_batch,2,1,2,0,0,3.0663740000000002,0,1.51711,0.48169699999999999,0
1,1,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00334_YEKXOD"",""mofsimplify_solvent_test_00029_BIDPOV""]",False,stopped_before_requested_batch,2,1,2,2,1,3.3623609999999999,0.59482000000000002,1.4704520000000001,0.52722899999999995,0
1,2,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00371_VEHPUU"",""mofsimplify_solvent_test_00394_XADDUD""]",False,stopped_before_requested_batch,2,1,2,0,0,2.9317440000000001,0,1.483795,0.50896300000000005,0
1,3,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00371_VEHPUU"",""mofsimplify_solvent_test_00394_XADDUD""]",False,stopped_before_requested_batch,2,1,2,0,0,2.9317440000000001,0,1.483795,0.50896300000000005,0
1,4,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00297_QOKCID"",""mofsimplify_solvent_test_00197_LEDWUN""]",False,stopped_before_requested_batch,2,1,2,2,1,3.3466969999999998,0.59760400000000002,1.5125470000000001,0.45973199999999997,0
1,5,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00175_MONWET"",""mofsimplify_solvent_test_00289_QEYWUN""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.3276970000000001,0.300508,1.5175689999999999,0.472715,0.33333333333333331
1,6,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00175_MONWET"",""mofsimplify_solvent_test_00206_LUYSEF""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.2895400000000001,0.30399399999999999,1.530222,0.46088000000000001,0.33333333333333331
1,7,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00162_LUJBAV"",""mofsimplify_solvent_val_00152_KUKPOX""]",False,stopped_before_requested_batch,2,1,2,0,0,2.8843570000000001,0,1.444342,0.54832800000000004,0
1,8,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00313_WOZGUP"",""mofsimplify_solvent_val_00175_MONWET""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.4775909999999999,0.28755500000000001,1.4974449999999999,0.48904700000000001,0.33333333333333331
1,9,86,94,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00176_KEWBUL"",""mofsimplify_solvent_test_00306_RAHMAP""]",False,stopped_before_requested_batch,2,1,2,2,1,2.8807529999999999,0.69426299999999996,1.493063,0.50672399999999995,0
