batch_size,n_runs,mean_hits,sd_hits,mean_selected_count,full_batch_rate,mean_proxy_cost_normalized_yield,empirical_probability_hits_ge_top_score
5,100,1.25,0.68718427093627676,2,0,0.38169712000000006,0.39000000000000001
10,100,2.6499999999999999,1.0671873729054748,4.2599999999999998,0,0.36723100000000003,0.23999999999999999
20,100,5.5899999999999999,1.6086571349351539,9.0299999999999994,0,0.3678190899999999,0.31
