descriptor,stable_minus_unstable_smd
mc-chi-3-all,-0.28819967466238383
lc-alpha-1-all,-0.27832871801569831
func-Z-0-all,-0.27063737786806125
lc-Z-1-all,-0.2653880703287072
f-lig-Z-2,0.25552330644170435
f-lig-chi-0,0.25168322104062635
f-lig-Z-3,0.24312900029285872
f-lig-Z-0,0.24075939234086682
f-lig-chi-2,0.23890047613544224
f-lig-Z-1,0.23492670177829486
mc-I-3-all,-0.23223301007810587
mc-S-0-all,0.23081887513561547
