batch_size,n_runs,mean_hits,sd_hits,mean_selected_count,full_batch_rate,mean_proxy_cost_normalized_yield,empirical_probability_hits_ge_top_score,policy_contract,risk_contract
5,100,3,1.1281521496355325,4.9900000000000002,0.98999999999999999,0.36252493000000008,0.34000000000000002,cost_only,none
10,100,6.1399999999999997,1.6515679724663976,10,1,0.36663221000000001,0.70999999999999996,cost_only,none
20,100,11.94,2.1453261389411735,20,1,0.35595759999999999,0.64000000000000001,cost_only,none
