fold,train_row_count,validation_row_count,train_group_count,validation_group_count,group_overlap_count,train_positive_fraction,validation_positive_fraction
1,1115,279,693,172,0,0.59730941704035878,0.59856630824372759
2,1115,279,693,172,0,0.59730941704035878,0.59856630824372759
3,1115,279,691,174,0,0.59820627802690585,0.59498207885304655
4,1115,279,691,174,0,0.59730941704035878,0.59856630824372759
5,1116,278,692,173,0,0.5976702508960573,0.59712230215827333
