alpha,beta,gamma,delta,diversity_distance_scale,cost_budget_per_item,selected_count,hits,hit_fraction,total_proxy_cost,proxy_cost_normalized_yield,risk_used,mean_predicted_success,full_batch,primary_policy_mode,selected
1,0.29999999999999999,0.20000000000000001,0,2,2.3989165637663223,5,5,1,8.9436579999999992,0.55905499999999997,3.018961,0.68173700000000004,1,cost_only,True
1,0.29999999999999999,0.34999999999999998,0.20000000000000001,2,2.3989165637663223,5,5,1,8.9792339999999999,0.55684,3.0200499999999999,0.68147000000000002,1,cost_only,False
1,0.29999999999999999,0.10000000000000001,0,2,2.3989165637663223,5,5,1,10.292567999999999,0.48578700000000002,2.8398349999999999,0.71469700000000003,1,cost_only,False
1,0,0.10000000000000001,0,2,2.3989165637663223,5,5,1,11.935911000000001,0.418904,2.6980080000000002,0.74084899999999998,1,cost_only,False
1,0,0.10000000000000001,0.10000000000000001,2,2.3989165637663223,5,5,1,11.935911000000001,0.418904,2.6980080000000002,0.74084899999999998,1,cost_only,False
1,0,0.10000000000000001,0.20000000000000001,2,2.3989165637663223,5,5,1,11.935911000000001,0.418904,2.6980080000000002,0.74084899999999998,1,cost_only,False
1,0.29999999999999999,0.34999999999999998,0,2,2.3989165637663223,5,4,0.80000000000000004,7.4695150000000003,0.53551000000000004,3.3755169999999999,0.60945700000000003,1,cost_only,False
1,0.14999999999999999,0.34999999999999998,0,2,2.3989165637663223,5,4,0.80000000000000004,7.9418259999999998,0.50366299999999997,3.2483330000000001,0.636297,1,cost_only,False
1,0.29999999999999999,0.34999999999999998,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,7.9418259999999998,0.50366299999999997,3.2483330000000001,0.636297,1,cost_only,False
1,0,0.34999999999999998,0,2,2.3989165637663223,5,4,0.80000000000000004,8.6484220000000001,0.46251199999999998,3.0599270000000001,0.67058399999999996,1,cost_only,False
1,0.14999999999999999,0.34999999999999998,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,8.6484220000000001,0.46251199999999998,3.0599270000000001,0.67058399999999996,1,cost_only,False
1,0,0.20000000000000001,0,2,2.3989165637663223,5,4,0.80000000000000004,9.0856220000000008,0.44025599999999998,3.0009450000000002,0.685975,1,cost_only,False
1,0.14999999999999999,0.20000000000000001,0,2,2.3989165637663223,5,4,0.80000000000000004,9.0856220000000008,0.44025599999999998,3.0009450000000002,0.685975,1,cost_only,False
1,0.29999999999999999,0.20000000000000001,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,9.0856220000000008,0.44025599999999998,3.0009450000000002,0.685975,1,cost_only,False
1,0,0.34999999999999998,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,9.0856220000000008,0.44025599999999998,3.0009450000000002,0.685975,1,cost_only,False
1,0,0.34999999999999998,0.20000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,9.0856220000000008,0.44025599999999998,3.0009450000000002,0.685975,1,cost_only,False
1,0.14999999999999999,0.34999999999999998,0.20000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,9.0856220000000008,0.44025599999999998,3.0009450000000002,0.685975,1,cost_only,False
1,0.14999999999999999,0.20000000000000001,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,9.8695050000000002,0.40528900000000001,2.9169330000000002,0.70252099999999995,1,cost_only,False
1,0.14999999999999999,0.10000000000000001,0,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0.14999999999999999,0.10000000000000001,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0.14999999999999999,0.10000000000000001,0.20000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0.29999999999999999,0.10000000000000001,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0.29999999999999999,0.10000000000000001,0.20000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0,0.20000000000000001,0.10000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0,0.20000000000000001,0.20000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0.14999999999999999,0.20000000000000001,0.20000000000000001,2,2.3989165637663223,5,4,0.80000000000000004,11.327978,0.35310799999999998,2.7522530000000001,0.73205799999999999,1,cost_only,False
1,0.29999999999999999,0.20000000000000001,0.20000000000000001,2,2.3989165637663223,5,3,0.59999999999999998,10.121033000000001,0.29641200000000001,2.9133629999999999,0.70333599999999996,1,cost_only,False
