candidate_id,model_split,raw_split,raw_source_file,raw_source_row,raw_refcode,outcome_binary,Df,Di,Dif,GPOAV,GPONAV,GPOV,GSA,POAV,POAV_vol_frac,PONAV,PONAV_vol_frac,VPOV,VSA,cell_v,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,source_doi,source_doi_normalized,source_url,source_group_id,source_group_basis
mofsimplify_solvent_train_00001_ABAVIJ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,1,ABAVIJ,1,2.4971999999999999,4.4554299999999998,4.3980899999999998,0,0.066953700000000005,0.066953893,0,0,0,134.81100000000001,0.1021,0.1021,0,1320.3800000000001,216.73400000000001,413.58080000000001,955.71280000000002,1458.0352,2598,6408,9508,10848,26,56,108,176,164,448,652,752,16.8032,40.510399999999997,72.61239999999998,105.392,3.5344000000000002,37.299199999999999,38.351999999999997,80.76479999999998,729,1242,1296,2268,6,8,16,36,84,144,216,1.5875999999999999,5.5692000000000004,7.7615999999999987,13.3056,-8.5600000000000005,-5.3600000000000003,-12.880000000000001,116,168,348,22,24,60,3.1400000000000001,3.9199999999999999,9.5999999999999996,91.283800000000014,176.001,261.86520000000002,273.572,397,768,1020,884,13,26,38,42,64,150,190,168,5.7332999999999998,12.7666,17.267800000000001,16.611000000000001,10.9696,11.016,23.363733329999999,18.738666670000001,59,60,107.33333330000001,82.666666669999998,1.3333333329999999,2.6666666669999999,2.3333333330000001,2,6,8,7.3333333329999988,0.54276666699999987,0.75973333300000001,1.3,1.126966667,36.979999999999997,95.673333330000006,136.635076,129.9617427,0.92000000000000004,1.48,1.9099999999999999,2,6,7,-2,-1.3333333329999999,-2.3333333330000001,-0.040000000000000001,0.21333333300000001,0.193333333,-6.5999999999999996,-4.6714066670000003,-7.3714066669999987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,train_refcode::ABAVIJ,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00002_ABAYIO,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,2,ABAYIO,1,4.3182200000000002,11.38838,11.386340000000001,0.421124,0.083972000000000005,0.50509626799999985,1304.51,1917.2,0.3997,382.28899999999999,0.079699999999999896,0.47939999999999988,1238.1400000000001,4796.6000000000004,145.45500000000001,245.256,615.84159999999997,635.29600000000005,2484,5668,6624,7136,16,36,64,80,100,244,320,384,12.459199999999999,30.7332,45.7408,55.412799999999997,2.4024999999999999,26.225999999999999,15.81,37.137999999999998,625,1225,600,1400,5,4,8,25,45,60,100,1.9320999999999999,5.4348999999999998,4.2812000000000001,8.3399999999999999,-9.1700000000000017,-4,-11.56,76,76,144,16,8,20,3.04,2.48,5.1200000000000001,144.04409999999999,255.96899999999999,399.6456,462.21300000000002,711,1260,1896,1944,18,36,54,66,90,216,294,306,8.9442000000000004,19.126799999999999,27.591000000000001,31.0002,11.833600000000001,8.7720000000000002,20.605599999999999,17.544,64,48,112,96,1,2,2,1,3,4,6,0.53290000000000004,0.56210000000000004,1.095,1.1242000000000001,28.09,59.890000000000001,87.980000000000004,119.78,0.89000000000000001,0.89000000000000001,1.78,2,2,4,-2,-2,-4,-0.040000000000000001,-0.040000000000000001,-0.080000000000000002,-6,-6,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,train_refcode::ABAYIO,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00003_ABESUX,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,3,ABESUX,1,4.4207099999999997,5.8773299999999997,5.8766100000000003,0.108525,0,0.108525185,348.95999999999998,565.87,0.40620000000000001,0,0,0.40620000000000001,1306.1300000000001,1393.0799999999999,436.08800000000002,1016.7071999999999,4112.6432000000004,5075.0936000000002,88488,235840,271872,442072,50,192,496,680,952,4384,7600,10296,54.941600000000001,243.7312,466.5976,668.76880000000006,1.9044000000000001,28.251359999999998,41.576639999999998,53.599200000000003,8464,18179.200000000001,15897.6,30102.400000000001,7.2000000000000002,10.4,13.6,54.399999999999999,230.40000000000001,291.19999999999999,339.19999999999999,2.8900000000000001,12.022399999999999,16.020800000000001,22.1816,-10.536,-15.776,-20.071999999999999,464.80000000000001,784,924,24.800000000000001,41.600000000000001,47.200000000000003,5.1680000000000001,8.2560000000000002,10.071999999999999,52.130499999999998,60.268799999999999,142.00319999999999,0,481,960,768,0,5,8,12,0,20,32,12,0,3.2551999999999999,6.1904000000000003,6.3948,0,10.4261,12.05376,28.400639999999999,0,96.200000000000003,192,153.59999999999999,0,1.6000000000000001,2.3999999999999999,0,4,6.4000000000000004,2.3999999999999999,0,0.65103999999999995,1.2380800000000001,1.2789600000000001,0,147.47200000000001,212,67.415999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,train_refcode::ABESUX,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00004_ABETAE,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,4,ABETAE,1,4.4227800000000004,5.8800400000000002,5.8800400000000002,0.111914,0,0.11191367000000001,365.84500000000003,583.53800000000001,0.41399999999999992,0,0,0.41399999999999992,1353.3599999999999,1409.51,436.08800000000002,1016.7071999999999,4112.6432000000004,5075.0936000000002,88488,235840,271872,442072,50,192,496,680,952,4384,7600,10296,54.941600000000001,243.7312,466.5976,668.76880000000006,1.9044000000000001,28.251359999999998,41.576639999999998,53.599200000000003,8464,18179.200000000001,15897.6,30102.400000000001,7.2000000000000002,10.4,13.6,54.399999999999999,230.40000000000001,291.19999999999999,339.19999999999999,2.8900000000000001,12.022399999999999,16.020800000000001,22.1816,-10.536,-15.776,-20.071999999999999,464.80000000000001,784,924,24.800000000000001,41.600000000000001,47.200000000000003,5.1680000000000001,8.2560000000000002,10.071999999999999,52.130499999999998,60.268799999999999,142.00319999999999,0,481,960,768,0,5,8,12,0,20,32,12,0,3.2551999999999999,6.1904000000000003,6.3948,0,10.4261,12.05376,28.400639999999999,0,96.200000000000003,192,153.59999999999999,0,1.6000000000000001,2.3999999999999999,0,4,6.4000000000000004,2.3999999999999999,0,0.65103999999999995,1.2380800000000001,1.2789600000000001,0,147.47200000000001,212,67.415999999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,train_refcode::ABETAE,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00005_ABEXEM,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,5,ABEXEM,0,4.1433099999999996,4.8208399999999996,4.8038699999999999,0.11364,0,0.11364023600000001,362.58600000000001,526.87199999999996,0.2001,0,0,0.2001,638.44799999999998,2633.04,146.55175,252.523,724.87940000000003,981.95399999999995,4041,7692,10124,5364,18,40,84,116,124,354,547,406,12.544600000000001,33.001199999999997,60.395600000000002,65.727199999999996,1.21,27.5,26.647500000000001,42.157499999999999,3249,3306,3249,4617,7.5,9.5,13,56.5,128,214.5,218.5,2.8561000000000001,9.3203499999999995,12.362349999999999,15.125500000000001,-16.75,-13.775,-24.024999999999999,369.5,484.5,660,39.5,43,69,7.1600000000000001,8.7400000000000002,13.02,96.454866670000001,165.495,247.3212,245.89080000000001,490.66666670000001,840,1204,1128,11.33333333,22,30.666666670000001,30.666666670000001,52.666666669999998,118,138.66666670000001,126.66666669999999,5.8310000000000004,11.893933329999999,15.9108,15.09106667,11.103999999999999,10.666933330000001,23.65348148,24.754791109999999,59.777777780000001,58.133333329999999,119.88148150000001,125.3777778,1.2814814809999999,2.5629629629999999,2.5629629629999999,1.8444444440000001,5.5333333329999999,7.9407407409999999,6.3037037040000001,0.54123185200000001,0.72899037,1.348333333,1.336423704,35.59711111,90.107037039999994,135.0922913,116.6774025,0.91533333299999997,1.151777778,0.78940740700000001,2,3.6888888889999998,2.896296296,-2,-1.7185185190000001,-0.92592592600000001,-0.040000000000000001,0.066962963,0.082814815,-6.5066666670000002,-5.6923717040000001,-3.1212605930000001,3.9445333329999999,2.9239999999999999,6.8685333330000002,6.4098666670000002,21.333333329999999,16,37.333333330000002,34.666666669999998,0.33333333300000001,0.33333333300000001,0.66666666699999988,0.66666666699999988,0.33333333300000001,1,1.3333333329999999,1.6666666670000001,0.177633333,0.1873666669999999,0.36499999999999988,0.36986666699999993,9.3633333330000017,19.963333330000001,29.326666670000002,33.036666670000002,0.296666667,0.296666667,0.42999999999999988,0.66666666699999988,0.66666666699999988,1,-0.66666666699999988,-0.66666666699999988,-1,-0.0133333329999999,-0.0133333329999999,-0.02,-2,-2,-2.7000000000000002,,,,train_refcode::ABEXEM,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00006_ABEXIQ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,6,ABEXIQ,0,4.0689299999999999,4.8052900000000003,4.8052900000000003,0.121112,0,0.121112106,336.50599999999997,563.46100000000001,0.2165,0,0,0.2165,601.53800000000001,2602.5900000000001,146.59614999999999,253.523,725.84839999999986,981.95399999999995,4156,7808,10238,5364,18,40,84,116,124,354,547,406,12.3454,32.339399999999998,59.517800000000001,65.727199999999996,1.2544,28,27.132000000000001,42.923999999999999,3364,3364,3306,4698,7.5,9.5,13,56.5,128,214.5,218.5,2.6568999999999998,8.9894499999999979,11.923450000000001,14.5885,-16.600000000000001,-13.585000000000001,-23.765000000000001,377,494,673,39.5,43,69,6.71,8.1699999999999999,12.24,96.454866670000001,165.495,247.3212,245.89080000000001,490.66666670000001,840,1204,1128,11.33333333,22,30.666666670000001,30.666666670000001,52.666666669999998,118,138.66666670000001,126.66666669999999,5.8310000000000004,11.893933329999999,15.9108,15.09106667,11.103999999999999,10.666933330000001,23.65348148,24.754791109999999,59.777777780000001,58.133333329999999,119.88148150000001,125.3777778,1.2814814809999999,2.5629629629999999,2.5629629629999999,1.8444444440000001,5.5333333329999999,7.9407407409999999,6.3037037040000001,0.54123185200000001,0.72899037,1.348333333,1.336423704,35.59711111,90.107037039999994,135.0922913,116.6774025,0.91533333299999997,1.151777778,0.78940740700000001,2,3.6888888889999998,2.896296296,-2,-1.7185185190000001,-0.92592592600000001,-0.040000000000000001,0.066962963,0.082814815,-6.5066666670000002,-5.6923717040000001,-3.1212605930000001,3.9445333329999999,2.9239999999999999,6.8685333330000002,6.4098666670000002,21.333333329999999,16,37.333333330000002,34.666666669999998,0.33333333300000001,0.33333333300000001,0.66666666699999988,0.66666666699999988,0.33333333300000001,1,1.3333333329999999,1.6666666670000001,0.177633333,0.1873666669999999,0.36499999999999988,0.36986666699999993,9.3633333330000017,19.963333330000001,29.326666670000002,33.036666670000002,0.296666667,0.296666667,0.42999999999999988,0.66666666699999988,0.66666666699999988,1,-0.66666666699999988,-0.66666666699999988,-1,-0.0133333329999999,-0.0133333329999999,-0.02,-2,-2,-2.7000000000000002,,,,train_refcode::ABEXIQ,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00007_ABEXOW,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,7,ABEXOW,0,4.0492100000000004,4.7727000000000004,4.7549000000000001,0.105769,0,0.105769602,317.83999999999997,493.19299999999998,0.19170000000000001,0,0,0.19170000000000001,576.06399999999996,2572.73,146.61865,254.023,726.3329,981.95399999999995,4273,7924,10352,5364,18,40,84,116,124,354,547,406,12.786099999999999,33.773299999999999,61.419699999999999,65.727199999999996,1.2768999999999999,28.25,27.37425,43.307250000000003,3481,3422,3363,4779,7.5,9.5,13,56.5,128,214.5,218.5,3.0975999999999999,9.7064000000000004,12.8744,15.752000000000001,-16.524999999999999,-13.49,-23.635000000000002,384.5,503.5,686,39.5,43,69,7.6849999999999987,9.4049999999999994,13.93,96.454866670000001,165.495,247.3212,245.89080000000001,490.66666670000001,840,1204,1128,11.33333333,22,30.666666670000001,30.666666670000001,52.666666669999998,118,138.66666670000001,126.66666669999999,5.8310000000000004,11.893933329999999,15.9108,15.09106667,11.103999999999999,10.666933330000001,23.65348148,24.754791109999999,59.777777780000001,58.133333329999999,119.88148150000001,125.3777778,1.2814814809999999,2.5629629629999999,2.5629629629999999,1.8444444440000001,5.5333333329999999,7.9407407409999999,6.3037037040000001,0.54123185200000001,0.72899037,1.348333333,1.336423704,35.59711111,90.107037039999994,135.0922913,116.6774025,0.91533333299999997,1.151777778,0.78940740700000001,2,3.6888888889999998,2.896296296,-2,-1.7185185190000001,-0.92592592600000001,-0.040000000000000001,0.066962963,0.082814815,-6.5066666670000002,-5.6923717040000001,-3.1212605930000001,3.9445333329999999,2.9239999999999999,6.8685333330000002,6.4098666670000002,21.333333329999999,16,37.333333330000002,34.666666669999998,0.33333333300000001,0.33333333300000001,0.66666666699999988,0.66666666699999988,0.33333333300000001,1,1.3333333329999999,1.6666666670000001,0.177633333,0.1873666669999999,0.36499999999999988,0.36986666699999993,9.3633333330000017,19.963333330000001,29.326666670000002,33.036666670000002,0.296666667,0.296666667,0.42999999999999988,0.66666666699999988,0.66666666699999988,1,-0.66666666699999988,-0.66666666699999988,-1,-0.0133333329999999,-0.0133333329999999,-0.02,-2,-2,-2.7000000000000002,,,,train_refcode::ABEXOW,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00008_ABEYAJ,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,8,ABEYAJ,0,3.9714999999999998,4.7309700000000001,4.7138600000000004,0.095572599999999897,0,0.095572305999999899,273.91300000000001,457.64699999999999,0.1822,0,0,0.1822,522.19000000000005,2511.7800000000002,146.71064999999999,256.02300000000002,728.27089999999998,981.95399999999995,4636,8272,10694,5364,18,40,84,116,124,354,547,406,12.6469,33.332099999999997,60.834499999999998,65.727199999999996,1.3689,29.25,28.343250000000001,44.840249999999997,3844,3596,3534,5022,7.5,9.5,13,56.5,128,214.5,218.5,2.9584000000000001,9.4857999999999993,12.581799999999999,15.394,-16.225000000000001,-13.109999999999999,-23.114999999999998,407,532,725,39.5,43,69,7.3849999999999998,9.0250000000000004,13.41,96.454866670000001,165.495,247.3212,245.89080000000001,490.66666670000001,840,1204,1128,11.33333333,22,30.666666670000001,30.666666670000001,52.666666669999998,118,138.66666670000001,126.66666669999999,5.8310000000000004,11.893933329999999,15.9108,15.09106667,11.103999999999999,10.666933330000001,23.65348148,24.754791109999999,59.777777780000001,58.133333329999999,119.88148150000001,125.3777778,1.2814814809999999,2.5629629629999999,2.5629629629999999,1.8444444440000001,5.5333333329999999,7.9407407409999999,6.3037037040000001,0.54123185200000001,0.72899037,1.348333333,1.336423704,35.59711111,90.107037039999994,135.0922913,116.6774025,0.91533333299999997,1.151777778,0.78940740700000001,2,3.6888888889999998,2.896296296,-2,-1.7185185190000001,-0.92592592600000001,-0.040000000000000001,0.066962963,0.082814815,-6.5066666670000002,-5.6923717040000001,-3.1212605930000001,3.9445333329999999,2.9239999999999999,6.8685333330000002,6.4098666670000002,21.333333329999999,16,37.333333330000002,34.666666669999998,0.33333333300000001,0.33333333300000001,0.66666666699999988,0.66666666699999988,0.33333333300000001,1,1.3333333329999999,1.6666666670000001,0.177633333,0.1873666669999999,0.36499999999999988,0.36986666699999993,9.3633333330000017,19.963333330000001,29.326666670000002,33.036666670000002,0.296666667,0.296666667,0.42999999999999988,0.66666666699999988,0.66666666699999988,1,-0.66666666699999988,-0.66666666699999988,-1,-0.0133333329999999,-0.0133333329999999,-0.02,-2,-2,-2.7000000000000002,,,,train_refcode::ABEYAJ,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00009_ABEYEN,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,9,ABEYEN,0,3.9435600000000002,4.7044699999999997,4.6875200000000001,0.089099800000000007,0,0.089099673000000004,250.624,428.55099999999999,0.1719,0,0,0.1719,483.52699999999999,2493.02,146.78174999999999,257.52300000000002,729.72439999999983,981.95399999999995,4761,8388,10808,5364,18,40,84,116,124,354,547,406,12.510899999999999,32.890900000000002,60.249299999999998,65.727199999999996,1.4399999999999999,30,29.07,45.990000000000002,3969,3654,3591,5103,7.5,9.5,13,56.5,128,214.5,218.5,2.8224,9.2652000000000001,12.289199999999999,15.036,-16,-12.824999999999999,-22.725000000000001,414.5,541.5,738,39.5,43,69,7.085,8.6449999999999978,12.890000000000001,96.454866670000001,165.495,247.3212,245.89080000000001,490.66666670000001,840,1204,1128,11.33333333,22,30.666666670000001,30.666666670000001,52.666666669999998,118,138.66666670000001,126.66666669999999,5.8310000000000004,11.893933329999999,15.9108,15.09106667,11.103999999999999,10.666933330000001,23.65348148,24.754791109999999,59.777777780000001,58.133333329999999,119.88148150000001,125.3777778,1.2814814809999999,2.5629629629999999,2.5629629629999999,1.8444444440000001,5.5333333329999999,7.9407407409999999,6.3037037040000001,0.54123185200000001,0.72899037,1.348333333,1.336423704,35.59711111,90.107037039999994,135.0922913,116.6774025,0.91533333299999997,1.151777778,0.78940740700000001,2,3.6888888889999998,2.896296296,-2,-1.7185185190000001,-0.92592592600000001,-0.040000000000000001,0.066962963,0.082814815,-6.5066666670000002,-5.6923717040000001,-3.1212605930000001,3.9445333329999999,2.9239999999999999,6.8685333330000002,6.4098666670000002,21.333333329999999,16,37.333333330000002,34.666666669999998,0.33333333300000001,0.33333333300000001,0.66666666699999988,0.66666666699999988,0.33333333300000001,1,1.3333333329999999,1.6666666670000001,0.177633333,0.1873666669999999,0.36499999999999988,0.36986666699999993,9.3633333330000017,19.963333330000001,29.326666670000002,33.036666670000002,0.296666667,0.296666667,0.42999999999999988,0.66666666699999988,0.66666666699999988,1,-0.66666666699999988,-0.66666666699999988,-1,-0.0133333329999999,-0.0133333329999999,-0.02,-2,-2,-2.7000000000000002,,,,train_refcode::ABEYEN,unique_surrogate_due_to_missing_packaged_doi
mofsimplify_solvent_train_00010_CAKXET,train,train,MOFSimplify-main/model/solvent/ANN/dropped_connectivity_dupes/train.csv,10,CAKXET,0,2.8277600000000001,4.1452299999999997,4.14337,0,0.054782600000000001,0.054782541999999899,0,0,0,131.16300000000001,0.1065,0.1065,0,1231.5699999999999,137.54259999999999,243.22620000000001,645.20420000000001,843.64200000000005,4586,7728,9890,4608,17,38,76,100,114,320,492,360,12.084,31.514399999999998,55.750599999999999,56.702800000000003,1.3689,27.2376,26.851500000000001,41.336100000000002,3844,3348,3348,4588,7,9,12,49,112,189,182,2.9584000000000001,8.8580000000000005,11.919600000000001,14.103999999999999,-15.09,-12.42,-21.289999999999999,380,504,670,33,36,58,6.8899999999999997,8.5500000000000007,12.44,96.454866670000001,165.495,247.3212,245.89080000000001,490.66666670000001,840,1204,1128,11.33333333,22,30.666666670000001,30.666666670000001,52.666666669999998,118,138.66666670000001,126.66666669999999,5.8310000000000004,11.893933329999999,15.9108,15.09106667,11.1424,10.5672,23.493066670000001,25.008959999999998,60,57.600000000000001,119.4666667,127.2,1.266666667,2.5333333329999999,2.5333333329999999,1.8,5.4000000000000004,7.733333333,5.8666666669999996,0.54079333299999988,0.72020666700000002,1.335,1.319106667,35.201999999999998,88.516666670000006,132.61269709999999,110.4806971,0.91400000000000003,1.1379999999999999,0.65733333299999985,2,3.6000000000000001,2.5333333329999999,-2,-1.733333333,-0.66666666699999988,-0.040000000000000001,0.0613333329999999,0.082666666999999902,-6.4800000000000004,-5.7085626669999998,-2.388562667,7.8890666669999998,5.8479999999999999,13.737066670000001,12.81973333,42.666666669999998,32,74.666666669999998,69.333333330000002,0.66666666699999988,0.66666666699999988,1.3333333329999999,1.3333333329999999,0.66666666699999988,2,2.6666666669999999,3.3333333330000001,0.35526666699999992,0.374733333,0.72999999999999987,0.73973333299999988,18.72666667,39.926666670000003,58.653333330000002,66.073333329999997,0.59333333300000002,0.59333333300000002,0.85999999999999988,1.3333333329999999,1.3333333329999999,2,-1.3333333329999999,-1.3333333329999999,-2,-0.026666667000000002,-0.026666667000000002,-0.040000000000000001,-4,-4,-5.4000000000000004,,,,train_refcode::CAKXET,unique_surrogate_due_to_missing_packaged_doi
